,address,country,detailedType.subTypology,detailedType.typology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,showAddress,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
474,pamplona,es,motorcycle,garage,2161,Sant Martí,False,L-7123,,False,False,True,False,False,41.3992037,2.1912301,Barcelona,El Parc i la Llacuna del Poblenou,False,,10,rent,30.0,,38621056,garage,Barcelona,False,"El Parc i la Llacuna del Poblenou, Barcelona",Garaje en pamplona,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7b/49/7f/239795015.jpg,https://www.idealista.com/inmueble/38621056/
475,calle del Dos de Maig,es,compactCar,garage,3083,Sant Martí,False,L-7016,,False,False,False,False,False,41.412767,2.175998,Barcelona,El Camp de l'Arpa del Clot,False,,10,rent,100.0,,38546368,garage,Barcelona,False,"El Camp de l'Arpa del Clot, Barcelona",Garaje en calle del Dos de Maig,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4f/da/5c/238522896.jpg,https://www.idealista.com/inmueble/38546368/
476,calle de Violant d'Hongria Reina d'Aragó,es,sedanCar,garage,3549,Sants-Montjuïc,False,L-7025,,False,False,False,False,False,41.3780956,2.1318887,Barcelona,Sants,False,,12,rent,90.0,,38378423,garage,Barcelona,False,"Sants, Barcelona",Garaje en calle de Violant d'Hongria Reina d'Aragó,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/ab/d0/235577312.jpg,https://www.idealista.com/inmueble/38378423/
477,calle Josep Pla,es,sedanCar,garage,6307,Centre,False,L-7041,,False,False,True,False,False,41.361339,2.1047576,Hospitalet de Llobregat,Centre,False,,12,rent,155.0,,38234288,garage,Barcelona,False,"Centre, Hospitalet de Llobregat",Garaje en calle Josep Pla,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/30/c2/7d/232938591.jpg,https://www.idealista.com/inmueble/38234288/
478,calle Piquer,es,compactCar,garage,1627,Sants-Montjuïc,False,PK021,,False,False,False,False,False,41.3716923,2.1655891,Barcelona,El Poble Sec - Parc de Montjuïc,False,,2,rent,90.0,,28653401,garage,Barcelona,False,"El Poble Sec - Parc de Montjuïc, Barcelona",Garaje en calle Piquer,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/db/15/73339996.jpg,https://www.idealista.com/inmueble/28653401/
479,calle de dublín,es,carAndMotorcycle,garage,4697,Sant Andreu,False,PKDUB.17.02,,False,False,,False,False,41.4265422,2.1843588,Barcelona,La Sagrera,False,,8,rent,60.0,4.0,35452210,garage,Barcelona,False,"La Sagrera, Barcelona",Garaje en calle de dublín,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/dc/29/592749459.jpg,https://www.idealista.com/inmueble/35452210/
480,calle de dublín,es,carAndMotorcycle,garage,5010,Sant Andreu,False,PKDUB17.01,,False,False,,False,False,41.4288422,2.1878588,Barcelona,La Sagrera,False,,8,rent,128.0,8.0,35452209,garage,Barcelona,False,"La Sagrera, Barcelona",Garaje en calle de dublín,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/58/31/b9/592749451.jpg,https://www.idealista.com/inmueble/35452209/
481,joan Miro,es,sedanCar,garage,1974,Sant Martí,False,009,,False,False,False,False,False,41.3898583,2.1962013,Barcelona,La Vila Olímpica del Poblenou,False,,1,rent,100.0,,33426693,garage,Barcelona,False,"La Vila Olímpica del Poblenou, Barcelona",Garaje en joan Miro,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/6c/d8/146749094.jpg,https://www.idealista.com/inmueble/33426693/
482,avenida pau casals,es,compactCar,garage,6269,Centre,False,L-7052,,False,False,False,False,False,41.361864,2.1049431,Hospitalet de Llobregat,Centre,False,,9,rent,68.0,,32493871,garage,Barcelona,False,"Centre, Hospitalet de Llobregat",Garaje en avenida pau casals,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e3/82/8b/200680769.jpg,https://www.idealista.com/inmueble/32493871/
483,calle Vergós,es,motorcycle,garage,3777,Sarrià-Sant Gervasi,False,pvm032,,False,False,True,False,False,41.3977437,2.1313719,Barcelona,Les Tres Torres,False,,1,rent,40.0,,2407987,garage,Barcelona,False,"Les Tres Torres, Barcelona",Garaje en calle Vergós,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/7c/5e/3675677.jpg,https://www.idealista.com/inmueble/2407987/
484,"calle de Concepción Arenal, 143",es,sedanCar,garage,4595,Sant Andreu,False,,,False,False,True,False,False,41.425646,2.1840591,Barcelona,El Congrés i els Indians,False,,4,rent,115.0,10.0,82883488,garage,Barcelona,True,"El Congrés i els Indians, Barcelona","Garaje en calle de Concepción Arenal, 143",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/6a/9a/606999372.jpg,https://www.idealista.com/inmueble/82883488/
485,"gran Via de les Corts Catalanes, 197",es,sedanCar,garage,3219,Sants-Montjuïc,False,,,False,False,True,False,False,41.3693259,2.1410376,Barcelona,La Bordeta,False,,1,rent,110.0,10.0,82878471,garage,Barcelona,True,"La Bordeta, Barcelona","Garaje en gran Via de les Corts Catalanes, 197",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/05/f3/7b/606872126.jpg,https://www.idealista.com/inmueble/82878471/
486,"calle del Comte Borrell, 190",es,sedanCar,garage,1751,Eixample,False,,,False,False,False,False,False,41.3852283,2.1524069,Barcelona,La Nova Esquerra de l'Eixample,False,,3,rent,120.0,,82877135,garage,Barcelona,True,"La Nova Esquerra de l'Eixample, Barcelona","Garaje en calle del Comte Borrell, 190",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dd/cd/36/606842367.jpg,https://www.idealista.com/inmueble/82877135/
487,"calle del Comte Borrell, 190",es,compactCar,garage,1751,Eixample,False,,,False,False,False,False,False,41.3852283,2.1524069,Barcelona,La Nova Esquerra de l'Eixample,False,,5,rent,100.0,,82876698,garage,Barcelona,True,"La Nova Esquerra de l'Eixample, Barcelona","Garaje en calle del Comte Borrell, 190",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/45/53/71/606837400.jpg,https://www.idealista.com/inmueble/82876698/
488,"calle de Bofarull, 27",es,compactCar,garage,3720,Sant Andreu,False,,,False,False,False,False,False,41.416678,2.1881628,Barcelona,Navas,False,,2,rent,65.0,8.0,82843469,garage,Barcelona,True,"Navas, Barcelona","Garaje en calle de Bofarull, 27",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/39/86/606213756.jpg,https://www.idealista.com/inmueble/82843469/
489,"calle de Bac de Roda, 118",es,sedanCar,garage,3601,Sant Martí,False,,,False,False,True,False,False,41.4083977,2.2033979,Barcelona,Provençals del Poblenou,False,,2,rent,130.0,,82834623,garage,Barcelona,True,"Provençals del Poblenou, Barcelona","Garaje en calle de Bac de Roda, 118",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7c/57/d1/606031265.jpg,https://www.idealista.com/inmueble/82834623/
490,"calle de les Camèlies, 28 -30",es,sedanCar,garage,3126,Gràcia,False,,,False,False,False,False,False,41.4112907,2.1597564,Barcelona,El Camp d'En Grassot i Gràcia Nova,False,,3,rent,120.0,,82825986,garage,Barcelona,True,"El Camp d'En Grassot i Gràcia Nova, Barcelona","Garaje en calle de les Camèlies, 28 -30",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/a5/d8/605801590.jpg,https://www.idealista.com/inmueble/82825986/
491,"baixada de la Glòria, Barcelona",es,motorcycle,garage,3277,Gràcia,False,06 GLORIA P,,False,False,False,False,False,41.4094315,2.1512221,Barcelona,Vallcarca i els Penitents,False,,3,rent,90.0,23.0,82735415,garage,Barcelona,False,"Vallcarca i els Penitents, Barcelona","Garaje en baixada de la Glòria, Barcelona",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/2a/83/603696325.jpg,https://www.idealista.com/inmueble/82735415/
492,calle d'Aribau,es,compactCar,garage,2124,Sarrià-Sant Gervasi,False,"ARIBAU, PK 5",,False,False,False,False,False,41.3955841,2.1521123,Barcelona,Sant Gervasi - Galvany,False,,1,rent,150.0,17.0,82690786,garage,Barcelona,False,"Sant Gervasi - Galvany, Barcelona",Garaje en calle d'Aribau,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/96/27/602765045.jpg,https://www.idealista.com/inmueble/82690786/
493,"valencia, 348",es,sedanCar,garage,1375,Eixample,False,,,False,False,False,False,False,41.3970989,2.1693993,Barcelona,La Dreta de l'Eixample,False,,8,rent,120.0,12.0,81338189,garage,Barcelona,True,"La Dreta de l'Eixample, Barcelona","Garaje en valencia, 348",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/06/f9/c2/574934749.jpg,https://www.idealista.com/inmueble/81338189/
494,"calle de Sors, 21",es,compactCar,garage,2938,Gràcia,False,1052_A,,False,False,,False,False,41.4090263,2.1584258,Barcelona,Vila de Gràcia,False,,2,rent,110.0,12.0,35398987,garage,Barcelona,True,"Vila de Gràcia, Barcelona","Garaje en calle de Sors, 21",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a1/e2/11/179789282.jpg,https://www.idealista.com/inmueble/35398987/
495,calle del Guinardó,es,sedanCar,garage,3735,Sant Andreu,False,7414,,False,False,False,False,False,41.4182091,2.1810299,Barcelona,Navas,False,,2,rent,85.0,9.0,82565398,garage,Barcelona,False,"Navas, Barcelona",Garaje en calle del Guinardó,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/ea/0e/600323924.jpg,https://www.idealista.com/inmueble/82565398/
496,"calle de guàrdia, 12",es,sedanCar,garage,817,Ciutat Vella,False,,,False,False,False,False,False,41.3777633,2.1740131,Barcelona,El Raval,False,,4,rent,128.0,,31045271,garage,Barcelona,True,"El Raval, Barcelona","Garaje en calle de guàrdia, 12",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/04/8f/cc/164909684.jpg,https://www.idealista.com/inmueble/31045271/
497,"calle d'Astúries, 62",es,sedanCar,garage,2588,Gràcia,False,,,False,False,False,False,False,41.4045464,2.1563498,Barcelona,Vila de Gràcia,False,,1,rent,130.0,12.0,82342760,garage,Barcelona,True,"Vila de Gràcia, Barcelona","Garaje en calle d'Astúries, 62",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/79/75/ff/596170739.jpg,https://www.idealista.com/inmueble/82342760/
498,Coll Favà - Can Magí,es,sedanCar,garage,12619,Coll Favà - Can Magí,False,545578BH-SC,bj,False,False,False,False,False,41.4775083,2.0855123,Sant Cugat del Vallès,,False,,2,rent,70.0,6.0,81895244,garage,Barcelona,False,"Coll Favà - Can Magí, Sant Cugat del Vallès",Garaje,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/fd/0d/587133255.jpg,https://www.idealista.com/inmueble/81895244/
499,"calle de la mare de déu del coll, 25",es,,garage,3308,Gràcia,False,1368,,False,False,False,False,False,41.408869,2.1495321,Barcelona,Vallcarca i els Penitents,False,,6,rent,90.0,,32995152,garage,Barcelona,True,"Vallcarca i els Penitents, Barcelona","Garaje en calle de la mare de déu del coll, 25",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5b/86/c7/140470859.jpg,https://www.idealista.com/inmueble/32995152/
500,"santa eulalia, 182",es,sedanCar,garage,4663,Santa Eulàlia,False,,,False,False,True,False,False,41.366558,2.123263,Hospitalet de Llobregat,Santa Eulàlia,False,,10,rent,70.0,6.0,81720345,garage,Barcelona,True,"Santa Eulàlia, Hospitalet de Llobregat","Garaje en santa eulalia, 182",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/c7/64/583032196.jpg,https://www.idealista.com/inmueble/81720345/
501,"comte urgell, 100",es,sedanCar,garage,1368,Eixample,False,curgell100pk71,,False,False,False,False,False,41.3836432,2.157107,Barcelona,L'Antiga Esquerra de l'Eixample,False,,14,rent,120.0,10.0,81611169,garage,Barcelona,True,"L'Antiga Esquerra de l'Eixample, Barcelona","Garaje en comte urgell, 100",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bd/f3/92/580586320.jpg,https://www.idealista.com/inmueble/81611169/
502,"entença, 206",es,sedanCar,garage,2502,Eixample,False,PK Entença,,False,False,False,False,False,41.3853464,2.1433989,Barcelona,La Nova Esquerra de l'Eixample,False,,3,rent,90.0,13.0,81588566,garage,Barcelona,True,"La Nova Esquerra de l'Eixample, Barcelona","Garaje en entença, 206",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/45/e3/01/580126290.jpg,https://www.idealista.com/inmueble/81588566/
503,"calle de Benet Mateu, 34",es,carAndMotorcycle,garage,3980,Sarrià-Sant Gervasi,False,,,False,False,False,True,False,41.3927909,2.1268001,Barcelona,Sarrià,False,,5,rent,130.0,7.0,81588294,garage,Barcelona,True,"Sarrià, Barcelona","Garaje en calle de Benet Mateu, 34",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/6a/4f/584134167.jpg,https://www.idealista.com/inmueble/81588294/
504,"calle de Vila i Vilà, 44",es,sedanCar,garage,1270,Sants-Montjuïc,False,,,False,False,True,True,False,41.3739836,2.1698928,Barcelona,El Poble Sec - Parc de Montjuïc,False,,4,rent,115.0,,81421401,garage,Barcelona,True,"El Poble Sec - Parc de Montjuïc, Barcelona","Garaje en calle de Vila i Vilà, 44",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/9d/70/576588143.jpg,https://www.idealista.com/inmueble/81421401/
505,"cinema Bel, 20",es,compactCar,garage,9301,Centre,False,LPCBEL1,,False,False,False,False,False,41.3540444,2.0698921,Cornellà de Llobregat,,False,,8,rent,55.0,6.0,81378060,garage,Barcelona,True,"Centre, Cornellà de Llobregat","Garaje en cinema Bel, 20",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f6/f0/e6/576097983.jpg,https://www.idealista.com/inmueble/81378060/
506,"calle del Torrent de l'Olla, 39",es,compactCar,garage,2005,Gràcia,False,Torrent39,,False,False,False,False,False,41.3999252,2.1597136,Barcelona,Vila de Gràcia,False,,4,rent,95.0,,81274594,garage,Barcelona,True,"Vila de Gràcia, Barcelona","Garaje en calle del Torrent de l'Olla, 39",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/87/db/64/573644702.jpg,https://www.idealista.com/inmueble/81274594/
507,"rocafort, 39",es,sedanCar,garage,1702,Eixample,False,,,False,False,True,False,False,41.377153,2.155956,Barcelona,Sant Antoni,False,,7,rent,110.0,14.0,40430347,garage,Barcelona,True,"Sant Antoni, Barcelona","Garaje en rocafort, 39",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d1/df/17/280251870.jpg,https://www.idealista.com/inmueble/40430347/
508,"calle de Pau Alcover, 16",es,compactCar,garage,4239,Sarrià-Sant Gervasi,False,,,False,False,True,False,False,41.3988986,2.1260262,Barcelona,Les Tres Torres,False,,4,rent,90.0,,40318400,garage,Barcelona,True,"Les Tres Torres, Barcelona","Garaje en calle de Pau Alcover, 16",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/1c/ed/277907039.jpg,https://www.idealista.com/inmueble/40318400/
