,address,country,detailedType.subTypology,detailedType.typology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,showAddress,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url,features
2074,"calle de València, 3",es,sedanCar,garage,2474,Eixample,False,,,False,False,True,False,False,41.37987620000001,2.1445736,Barcelona,La Nova Esquerra de l'Eixample,False,,5,rent,90.0,,37998959,garage,Barcelona,True,"La Nova Esquerra de l'Eixample, Barcelona","Garaje en calle de València, 3",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/45/0b/49/228672948.jpg,https://www.idealista.com/inmueble/37998959/,"['Plaza para coche grande', 'Con ascensor', ' Puerta automática de garaje ', ' Personal de seguridad ']"
2075,"calle de Teodora Lamadrid, 47",es,sedanCar,garage,4059,Sarrià-Sant Gervasi,False,,,False,False,False,False,False,41.4076554,2.1351236,Barcelona,Sant Gervasi - La Bonanova,False,,4,rent,118.0,,82177773,garage,Barcelona,True,"Sant Gervasi - La Bonanova, Barcelona","Garaje en calle de Teodora Lamadrid, 47",https://img3.idealista.com/blur/WEB_LISTING/270/id.pro.es.image.master/19/cf/81/599384070.jpg,https://www.idealista.com/inmueble/82177773/,"['Plaza para coche grande', 'Cubierta', ' Puerta automática de garaje ', ' Personal de seguridad ']"
2076,"calle de la Duquessa d'Orleans, 34",es,compactCar,garage,4730,Sarrià-Sant Gervasi,False,,,False,False,True,False,False,41.3989193,2.1197676,Barcelona,Sarrià,False,,3,rent,125.0,,39155640,garage,Barcelona,True,"Sarrià, Barcelona","Garaje en calle de la Duquessa d'Orleans, 34",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/44/a0/5b/255828637.jpg,https://www.idealista.com/inmueble/39155640/,[]
2077,"calle de Déu i Mata, 145",es,compactCar,garage,2925,Les Corts,False,,,False,False,True,False,False,41.3906935,2.1391364,Barcelona,Les Corts,False,,4,rent,110.0,12.0,82162635,garage,Barcelona,True,"Les Corts, Barcelona","Garaje en calle de Déu i Mata, 145",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/33/e4/16/592629058.jpg,https://www.idealista.com/inmueble/82162635/,"['Plaza para coche pequeño', '9,5 m²', 'Cubierta', 'Con ascensor', ' Personal de seguridad ']"
2078,"calle de Martí, 141",es,motorcycle,garage,2963,Gràcia,False,,,False,False,False,False,False,41.4102896,2.1617754,Barcelona,El Camp d'En Grassot i Gràcia Nova,False,,3,rent,25.0,,38658176,garage,Barcelona,True,"El Camp d'En Grassot i Gràcia Nova, Barcelona","Garaje en calle de Martí, 141",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/21/10/41/240353946.jpg,https://www.idealista.com/inmueble/38658176/,[]
2079,"calle de la Llacuna, 142",es,sedanCar,garage,2812,Sant Martí,False,,,False,False,True,False,False,41.40533,2.1936412,Barcelona,Provençals del Poblenou,False,,2,rent,120.0,,82150124,garage,Barcelona,True,"Provençals del Poblenou, Barcelona","Garaje en calle de la Llacuna, 142",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/55/df/592377675.jpg,https://www.idealista.com/inmueble/82150124/,"['Plaza para coche grande', 'Con ascensor']"
2080,"calle de los Castillejos, 263",es,motorcycle,garage,2387,Eixample,False,,,False,False,False,False,False,41.40622070000001,2.178538,Barcelona,La Sagrada Família,False,,3,rent,35.0,12.0,82139278,garage,Barcelona,True,"La Sagrada Família, Barcelona","Garaje en calle de los Castillejos, 263",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/7e/3e/592370448.jpg,https://www.idealista.com/inmueble/82139278/,"['Plaza para moto', '3 m²', 'Cubierta', ' Puerta automática de garaje ', ' Alarma ', ' Cámaras de seguridad ']"
2081,"calle d'Anglí, 1 b",es,twoCars,garage,4105,Sarrià-Sant Gervasi,False,,,False,False,False,False,False,41.3984202,2.1274949,Barcelona,Les Tres Torres,False,,5,rent,170.0,10.0,82130154,garage,Barcelona,True,"Les Tres Torres, Barcelona","Garaje en calle d'Anglí, 1 b",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b1/28/2c/591977825.jpg,https://www.idealista.com/inmueble/82130154/,"['Plaza para 2 coches o más', '17 m²', 'Cubierta', ' Puerta automática de garaje ', ' Alarma ', ' Personal de seguridad ']"
2082,"calle del Roure, 31",es,sedanCar,garage,11174,Caneletes-Turonet,False,,,False,False,True,False,False,41.4842171,2.1512672000000004,Cerdanyola del Vallès,,False,,3,rent,60.0,,28018923,garage,Barcelona,True,"Caneletes-Turonet, Cerdanyola del Vallès","Garaje en calle del Roure, 31",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/bf/17/63716731.jpg,https://www.idealista.com/inmueble/28018923/,"['Plaza para coche grande', 'Cubierta', 'Plaza número 20 ', 'Con ascensor', ' Puerta automática de garaje ', ' Alarma ']"
2083,"avenida de Cornellà, 23",es,carAndMotorcycle,garage,7206,,False,,,False,False,False,False,False,41.3760914,2.087857,Esplugues de Llobregat,,False,,3,rent,60.0,,82037849,garage,Barcelona,True,Esplugues de Llobregat,"Garaje en avenida de Cornellà, 23",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/07/e5/c8/181129538.jpg,https://www.idealista.com/inmueble/82037849/,"['Plaza para coche y moto', 'Cubierta', ' Puerta automática de garaje ', ' Personal de seguridad ']"
